attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,is_bfm_defined,attribute_id,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,search_weight,is_deleted,attribute_set_and_group_names
123,4,gift_message_available,NULL,catalog/product_attribute_backend_boolean,varchar,NULL,NULL,select,Allow Gift Message,NULL,eav/entity_attribute_source_boolean,0,0,NULL,0,NULL,0,123,giftmessage/adminhtml_product_helper_form_config,1,1,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,0,"Accessories|Gift Options,Backing Board|Gift Options,Chalk Boards|Gift Options,Cork Boards|Gift Options,Default|Gift Options,Dry Erase Board|Gift Options,Fabric|Gift Options,Glass|Gift Options,Laminate|Gift Options,Letter Board|Gift Options,Post Finish|Gift Options"
147,4,gift_wrapping_available,NULL,,int,NULL,NULL,select,Allow Gift Wrapping,hidden-for-virtual,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,0,NULL,0,NULL,0,147,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Gift Options,Backing Board|Gift Options,Chalk Boards|Gift Options,Cork Boards|Gift Options,Default|Gift Options,Dry Erase Board|Gift Options,Fabric|Gift Options,Glass|Gift Options,Laminate|Gift Options,Letter Board|Gift Options,Post Finish|Gift Options"
148,4,gift_wrapping_price,NULL,Magento\Catalog\Model\Product\Attribute\Backend\Price,decimal,NULL,NULL,price,Price for Gift Wrapping,hidden-for-virtual,NULL,0,0,NULL,0,NULL,0,148,NULL,2,1,0,0,0,0,0,0,0,0,0,1,"simple,configurable,bundle,giftcard",0,0,0,0,1,0,"Accessories|Gift Options,Backing Board|Gift Options,Chalk Boards|Gift Options,Cork Boards|Gift Options,Default|Gift Options,Dry Erase Board|Gift Options,Fabric|Gift Options,Glass|Gift Options,Laminate|Gift Options,Letter Board|Gift Options,Post Finish|Gift Options"
324,4,glass_type,NULL,NULL,int,NULL,NULL,select,Glass Type,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\GlassType,1,1,,0,NULL,0,324,NULL,1,1,0,0,0,1,0,0,0,1,0,1,simple,0,0,0,1,1,0,Glass|Glass
111,4,has_options,NULL,NULL,static,NULL,NULL,text,NULL,NULL,NULL,0,0,NULL,0,NULL,0,111,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
353,4,header_data,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveHeaderData,text,NULL,NULL,text,Header Data,NULL,NULL,0,1,NULL,0,NULL,0,353,NULL,1,0,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,0,1,0,"Default|General,Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
256,4,dimension_1,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,multiselect,Available Height,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\CommonDimensions,1,1,NULL,0,NULL,1,256,adg_customizer/adminhtml_catalog_form_renderer_attribute_fractional,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,Chalk Boards|Size
85,4,image,NULL,NULL,varchar,NULL,catalog/product_attribute_frontend_image,media_image,Base Image,NULL,NULL,0,0,NULL,0,NULL,0,85,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Images,Backing Board|Images,Chalk Boards|Images,Cork Boards|Images,Default|Images,Dry Erase Board|Images,Fabric|Images,Glass|Images,Laminate|Images,Letter Board|Images,Post Finish|Images"
112,4,image_label,NULL,NULL,varchar,NULL,NULL,text,Image Label,NULL,NULL,0,0,NULL,0,NULL,0,112,NULL,0,0,0,0,0,0,0,0,0,1,0,0,NULL,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
263,4,img_layer,NULL,Magento\Catalog\Model\Category\Attribute\Backend\Image,varchar,NULL,Magento\Catalog\Model\Product\Attribute\Frontend\Image,media_image,Layer Image,NULL,NULL,0,1,NULL,0,"Recommended size: max width: 1900
max, height: 1900",0,263,NULL,1,1,0,0,0,0,0,0,0,1,0,1,NULL,0,0,0,0,1,0,"Chalk Boards|Image Management,Cork Boards|Image Management,Dry Erase Board|Image Management,Fabric|Image Management,Laminate|Image Management,Letter Board|Image Management"
260,4,img_thumb,NULL,Magento\Catalog\Model\Category\Attribute\Backend\Image,varchar,NULL,Magento\Catalog\Model\Product\Attribute\Frontend\Image,media_image,Thumb Image,NULL,NULL,0,1,NULL,0,"Recommended size: width: 75px, height: 75px",0,260,NULL,1,1,0,0,0,0,0,0,0,1,0,1,NULL,0,0,0,0,1,0,"Accessories|Accessories,Backing Board|Backing Board,Chalk Boards|Chalk Boards,Cork Boards|Cork Board,Dry Erase Board|Dry Erase Board,Fabric|Fabric,Glass|Glass,Laminate|Laminate,Letter Board|Letter Board,Post Finish|Post Finish"
217,4,is_bestseller,NULL,NULL,int,NULL,NULL,select, Is Best Seller,NULL,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,1,0,0,NULL,0,217,NULL,2,1,0,0,0,1,0,0,0,0,0,1,"simple,customframe",0,0,0,0,1,0,Default|ADG
216,4,is_carousel,NULL,NULL,int,NULL,NULL,select, Is Category Carousel product,NULL,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,1,0,0,NULL,0,216,NULL,2,1,0,0,0,1,0,0,0,0,0,1,simple,0,0,0,0,1,0,Default|ADG
100,4,is_recurring,NULL,NULL,int,NULL,NULL,select,Enable Recurring Profile,NULL,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,0,NULL,0,Products with recurring profile participate in catalog as nominal items.,0,100,NULL,1,1,0,0,0,0,0,0,0,0,0,0,"simple,virtual",0,0,0,0,1,0,"Accessories|Recurring Profile,Backing Board|Recurring Profile,Chalk Boards|Recurring Profile,Cork Boards|Recurring Profile,Default|Recurring Profile,Dry Erase Board|Recurring Profile,Fabric|Recurring Profile,Glass|Recurring Profile,Laminate|Recurring Profile,Letter Board|Recurring Profile,Post Finish|Recurring Profile"
139,4,is_redeemable,NULL,NULL,int,NULL,NULL,text,Is Redeemable,NULL,NULL,0,0,NULL,0,NULL,0,139,NULL,2,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,"Accessories|Prices,Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Default|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
351,4,label_data,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveLabelData,text,NULL,NULL,text,Label Data,NULL,NULL,0,1,NULL,0,NULL,0,351,NULL,1,0,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,0,1,0,"Default|General,Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
289,4,labor_factor,NULL,NULL,decimal,NULL,NULL,text,Labor Factor,validate-number,NULL,1,1,NULL,0,NULL,1,289,NULL,1,1,0,0,0,1,0,0,0,1,0,1,"simple,customframe,frame",0,0,0,0,1,0,"Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
398,4,laminate_colors,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,int,NULL,NULL,multiselect,Laminate Color,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\LaminateColors,1,1,,0,NULL,0,398,NULL,1,1,0,1,0,1,0,0,0,1,0,0,simple,0,0,0,1,1,0,Laminate|Laminate
313,4,laminate_finish,NULL,NULL,int,NULL,NULL,select,Laminate Finish,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\LaminateFinish,1,1,NULL,0,NULL,0,313,NULL,1,1,0,0,0,1,0,0,0,1,0,1,",simple",0,0,0,1,1,0,Laminate|Laminate
312,4,laminate_type,NULL,NULL,int,NULL,NULL,select,Laminate Type,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\LaminateType,0,1,,0,NULL,0,312,NULL,1,1,0,1,0,1,0,0,0,1,0,1,simple,0,0,0,1,1,0,Laminate|Laminate
